participant_id	handedness	preceding_condition
0027176	#	active task
0027177	#	active task
0027178	#	active task
0027179	#	active task
0027180	#	active task
0027181	#	active task
0027182	#	active task
0027183	#	active task
0027184	#	active task
0027185	#	active task
0027186	#	active task
0027187	#	active task
0027188	#	active task
0027189	#	active task
0027190	#	active task
0027191	#	active task
0027192	#	active task
0027193	#	active task
0027194	#	active task
0027195	#	active task
0027196	#	active task
0027197	#	active task
0027198	#	active task
0027199	#	active task
0027200	#	active task
0027201	#	active task
0027202	#	active task
