participant_id	handedness	preceding_condition
0025362	#	no active task
0025363	#	no active task
0025364	#	no active task
0025365	#	no active task
0025366	#	no active task
0025367	#	no active task
0025368	#	no active task
0025369	#	no active task
0025370	#	no active task
0025371	#	no active task
0025372	#	no active task
0025373	#	no active task
0025374	#	no active task
0025375	#	no active task
0025376	#	no active task
0025377	#	no active task
0025378	#	no active task
0025379	#	no active task
0025380	#	no active task
0025381	#	no active task
0025382	#	no active task
0025383	#	no active task
0025384	#	no active task
0025385	#	no active task
0025386	#	no active task
0025387	#	no active task
0025388	#	no active task
0025389	#	no active task
0025390	#	no active task
0025391	#	no active task
0025392	#	no active task
0025393	#	no active task
0025394	#	no active task
0025395	#	no active task
0025396	#	no active task
0025397	#	no active task
0025398	#	no active task
0025399	#	no active task
0025400	#	no active task
0025401	#	no active task
