participant_id	handedness	preceding_condition
0025921	#	no active task
0025922	#	no active task
0025923	#	no active task
0025924	#	no active task
0025925	#	no active task
0025926	#	no active task
0025927	#	no active task
0025928	#	no active task
0025929	#	no active task
0025930	#	no active task
0025931	#	no active task
0025932	#	no active task
0025933	#	no active task
0025934	#	no active task
0025935	#	no active task
0025936	#	no active task
0025937	#	no active task
0025938	#	no active task
0025939	#	no active task
0025940	#	no active task
0025941	#	no active task
0025942	#	no active task
0025943	#	no active task
0025944	#	no active task
0025945	#	no active task
0025946	#	no active task
0025947	#	no active task
0025948	#	no active task
0025949	#	no active task
0025950	#	no active task
0025951	#	no active task
0025952	#	no active task
0025953	#	no active task
0025954	#	no active task
0025955	#	no active task
0025956	#	no active task
0025957	#	no active task
0025958	#	no active task
0025959	#	no active task
0025960	#	no active task
0025961	#	no active task
0025962	#	no active task
0025963	#	no active task
0025964	#	no active task
0025965	#	no active task
0025966	#	no active task
0025967	#	no active task
0025968	#	no active task
0025969	#	no active task
0025970	#	no active task
0025971	#	no active task
0025972	#	no active task
0025973	#	no active task
0025974	#	no active task
0025975	#	no active task
0025976	#	no active task
0025977	#	no active task
0025978	#	no active task
0025979	#	no active task
0025980	#	no active task
0025981	#	no active task
